A.KQT.JT872.J962 K8542.3.A43.Q743 Q9763.A9874.96.8 JT.J652.KQ5.AKT5:77778888656587879999
4.843.J7652.T986 AT3.97.984.KJ542 K9872.KJT6.AKQ.3 QJ65.AQ52.T3.AQ7:99998888888766659999
953.KJ7.AJ975.T2 KQ87.42.Q83.8763 AJT42.QT983.2.J5 6.A65.KT64.AKQ94:8787555554548888A9A9
KJT92.K95.KQ54.K 73.A2.AT32.QT762 85.T8764.76.J853 AQ64.QJ3.J98.A94:A9AA88887777A9A9A9AA
QJ82.AJT.8753.T7 A963.974.J.QJ983 T75.K86.KQT92.K6 K4.Q532.A64.A542:8888878799996666AAAA
7432.KQJ5.K.QT86 AQJ95.T.A542.J53 6.A9863.QJ973.K2 KT8.742.T86.A974:77778787333365658787
AQJT3.7653.6.T75 95.A.KT952.98642 K874.JT842.Q73.Q 62.KQ9.AJ84.AKJ3:D8D855555555DBDBDBDB
AKQ9542.KJT8.9.5 T86.6.AT65.K9864 J73.32.QJ87.J732 .AQ9754.K432.AQT:668644449999AAAAAAA9
J73.KJ6.KQJ76.J8 6.Q8542.A43.Q954 QT8542.A73.92.K7 AK9.T9.T85.AT632:76764444777765659999
Q763.A5.AT87.J85 852.J9742.KQ.QT9 AT4.8.653.K76432 KJ9.KQT63.J942.A:86866666A9A976765454
43.AQT5.AJ2.9753 A92.K72.K754.Q42 Q87.863.Q9863.KJ KJT65.J94.T.AT86:9898A9AA777766669898
Q96.543.K84.K983 74.KQ987.J973.QJ A32.T62.QT62.764 KJT85.AJ.A5.AT52:9898AAAAA9A9888899A9
K7.986.QT965.K62 852.KT4.842.T873 QT963.AJ532.73.Q AJ4.Q7.AKJ.AJ954:98986666555566669999
986.96.AKJ75.432 K72.KJT3.942.QJ5 QJT43.AQ87.T8.T8 A5.542.Q63.AK976:76764343767655558787
AQJ93.QT3.KQ9.KT 752.J76.7.QJ9642 8.A42.JT65432.75 KT64.K985.A8.A83:63635354777722328787
Q94.5.K8763.9876 AK76.AK7.542.KJ4 JT852.Q963.A9.T2 3.JT842.QJT.AQ53:AAAA8787A9A988889999
73.QJ53.AJ7.T985 982.A82.T8654.Q4 A4.T97.KQ32.J732 KQJT65.K64.9.AK6:8888BBBB777777776666
AT92.KJT.KJT97.8 87.AQ86.Q632.Q63 KJ653.72.A5.KJT5 Q4.9543.84.A9742:43433231666644446666
AQ7.AJ952.76.Q32 K432.43.T532.K95 96.T876.AQJ98.74 JT85.KQ.K4.AJT86:9797A99955556565AAAA
A.AKQ9432.K9865. T742.JT5.QJT4.82 KQJ93.86.A2.J964 865.7.73.AKQT753:30702020000022226676
9854.J3.JT84.Q96 QJ72.AQT4.AK.KT5 AT6.K872.Q2.J742 K3.965.97653.A83:A9A99999AAAA99999999
K4.K8.KT9742.Q87 862.JT73.8.J5432 J973.A94.QJ.KT96 AQT5.Q652.A653.A:54547777888833335454
A7.KJ.T652.KJT96 J86543.T876.9.87 Q.Q4.AQJ83.Q5432 KT92.A9532.K74.A:7777AAAAA9A933333343
AKJT643.AJ96.95. 752.K8732.KQ.Q96 9.Q54.AJT8763.T3 Q8.T.42.AKJ87542:84842121544421119999
Q4.Q943.JT3.QT82 J7.KT7.98764.973 AKT62.852.AK5.65 9853.AJ6.Q2.AKJ4:55555555656577776666
AKQJ52.42.K6.962 973.JT8.AQ.KQJ84 T.K75.JT9842.T53 864.AQ963.753.A7:C7C77777DADA8686CACA
72.T642.AKQ8.Q83 Q5.J93.JT9762.K2 KJT863.K8.4.7654 A94.AQ75.53.AJT9:888877779999AAAA8888
J864.7.QJT5.T863 K7.K543.762.KJ72 A95.AQT9.K983.Q5 QT32.J862.A4.A94:66666666888855557777
J8.K3.QJT9543.J2 T3.QT84.872.KT73 AK62.A62.A.Q8654 Q9754.J975.K6.A9:64646666777733335454
Q8754.3.KJ3.QJT4 AT6.J54.T9542.92 K93.A92.876.8763 J2.KQT876.AQ.AK5:99996565AAAA99996666
KJ942.JT96.AT6.6 5.K4.J87.KQJT943 T73.AQ73.KQ9.752 AQ86.852.5432.A8:86862222424244448888
Q9.AQ63.QJ6.5432 J.KT72.AK732.K76 AKT74.4.T84.QT98 86532.J985.95.AJ:88887777AAAAA8A86565
A.Q96.AK54.K6432 QT8.AT84.QT82.T8 9732.52.76.QJ975 KJ654.KJ73.J93.A:96969999A8A898983333
T62.J96.AQ5.K732 53.AT3.J643.Q864 K97.K875.T982.JT AQJ84.Q42.K7.A95:999999A9878887889999
K7.JT83.765.T872 AQ842.AK.Q92.K43 JT95.Q5.AJ83.J65 63.97642.KT4.AQ9:A9A9AAAAAAAAAAA99999
KJ76.JT.943.Q643 8.8732.K76.JT852 A9542.A64.AT82.9 QT3.KQ95.QJ5.AK7:66664444999965658888
AKJ.J95.97653.T4 T543.AKQ843.82.8 Q7.72.KQT.KQ9652 9862.T6.AJ4.AJ73:98989999999965655555
KT953.7.82.KJ753 QJ7642.8.T965.98 A.AKJT6532.KQ4.4 8.Q94.AJ73.AQT62:44546666333377876666
J65.AT52.A62.J93 KQ4.764.T85.Q874 A83.J93.Q9743.T2 T972.KQ8.KJ.AK65:8787999976766666A9A9
AJT98742.J7.J.J6 Q3.AKT95.43.K832 5.Q8643.AQ72.975 K6.2.KT9865.AQT4:A9A955559797A9A9A9A9
J753.97.AK.KQJ64 KQ8642.QJT.QT9.3 AT9.A83.74.T9852 .K6542.J86532.A7:54546666AAAAAAAA4343
K72.AQ942.Q4.K95 T63.J3.A85.T8432 AQJ985.T5.T973.7 4.K876.KJ62.AQJ6:44443333656576779999
9.AK4.JT864.QJ72 AQ5.Q987.952.T86 KJ762.J62.AK7.K3 T843.T53.Q3.A954:33334443444422223333
K62.KQT97.KQ73.3 T75.A64.65.Q8762 A98.J85.AT92.K54 QJ43.32.J84.AJT9:55655555333322228888
T2.A984.AT653.95 7653.QJT72.92.Q4 KQJ84.K53.Q874.J A9.6.KJ.AKT87632:A9A9545465653333AAAA
AK82.62.J64.9732 964.AT.K9873.Q84 75.K53.AQT.KJT65 QJT3.QJ9874.52.A:63636565777766653232
A97.AKQJ.Q7.8763 Q854.864.T94.JT2 J62.T952.J6532.K KT3.73.AK8.AQ954:88889898656575769999
K.A65.AJ932.Q987 Q97632.KJ92..JT3 JT4.Q7.T8654.K54 A85.T843.KQ7.A62:87889999999944446666
AQ974.Q2.AQJ8.T7 K5.JT6543.94.Q84 T832.K987.KT76.9 J6.A.532.AKJ6532:8888434377774343AAAA
A65.765.T952.973 Q.KQJ983.K3.KJ64 8432.A2.AQ74.Q52 KJT97.T4.J86.AT8:98989999999977779999
AT9862.KQ8..JT72 K.AJ632.Q984.986 Q543.T4.AT7.KQ53 J7.975.KJ6532.A4:63632222888899993232
AQ97543.7.T82.65 J8.AKJT943.743.4 T.Q865.KQJ.KQT72 K62.2.A965.AJ983:77765454888877776666
AQ65.A986.QT6.54 942.QJ72.84.Q982 JT8.KT43.932.J63 K73.5.AKJ75.AKT7:77777676656688889999
JT73.A7.AKT95.K7 A92.T965.QJ2.963 Q86.KJ83.863.QT8 K54.Q42.74.AJ542:54544444555544447676
T2.QJ43.A43.KT64 A63.K76.KT975.Q5 QJ9874.AT.Q8.987 K5.9852.J62.AJ32:65655555777788886666
K97.QJ7432.A93.3 AJ6543.T8.74.T86 Q.95.KT862.KQJ75 T82.AK6.QJ5.A942:88888888545455556575
K95.K96.T97654.Q AJ732.QJ7.J2.J98 T.A8542.Q83.K653 Q864.T3.AK.AT742:A9A9AAAA55555454A9A9
.K.Q875.KQJ96432 T4.QJT762.63.T85 AQJ7652.A9.AT9.7 K983.8543.KJ42.A:62624444999943432131
KJ98542.Q8.J5.J3 T76.AK92.K84.765 .J653.AQ732.Q942 AQ3.T74.T96.AKT8:77777777878777778887
9.T974.AJT864.43 AKJ6.A6.KQ3.QT52 84.Q832.972.K976 QT7532.KJ5.5.AJ8:CCCCCCCCA9A98888BBBB
AQJ9753..J.QJT64 64.KJ54.KQ9864.3 T2.Q932.T7532.92 K8.AT876.A.AK875:96B94444CBCCBABB8698
AQ7.AQT4.J96.T72 KJ..AK7432.QJ853 T9832.K876532..4 654.J9.QT85.AK96:B5B532222222CCCCCBCB
KT85.Q94.Q6.K953 Q93.K73.AJT72.84 J72.J852.K4.QJT7 A64.AT6.9853.A62:88887777777799996666
Q96.J8542.54.K64 874.Q763.KQ7.JT5 AK2.9.AT9862.872 JT53.AKT.J3.AQ93:88887777767655558787
QT83.AJ3.83.T964 K952.Q.KQ954.K75 J7.K86.AJ76.QJ82 A64.T97542.T2.A3:76768888888888876666
A87.J987.K9.7642 QT2.A6.QT643.KT3 KJ54.T532.AJ2.QJ 963.KQ4.875.A985:76766666555587878787
T875.7543.J976.5 .KQJT6.AK2.T9842 KQJ43.98.Q8543.7 A962.A2.T.AKQJ63:DDDD7777DDDD7777DDDD
Q9852.KT9.42.Q83 AKJ43.73.JT5.JT5 6.AJ4.AKQ986.642 T7.Q8652.73.AK97:54546666666633337676
AKQ85.QJT96.K9.J 7.8754.JT754.532 JT643.32.A2.QT86 92.AK.Q863.AK974:64643333444498988888
AK5.94.KJ53.K986 QT962.T832.Q.432 J3.QJ6.A8764.QJ5 874.AK75.T92.AT7:43437676777733335353
T8732.QT8.K3.T62 A.J52.AQJT654.53 K64.A96.97.QJ987 QJ95.K743.82.AK4:BBBB8888AAAACBBB7777
KQ74.KQ52.KQ2.J7 T832.T96.AJ.9652 96.8743.9876.KQ3 AJ5.AJ.T543.AT84:65667777656676768888
42.A9872.95.KT76 AKQJ96.K.AT.8542 T753.63.K87643.3 8.QJT54.QJ2.AQJ9:BABABBBB99998788AAAA
QJ7.AT4.QT742.53 KT852.65.K6.K942 A4.QJ8.AJ3.QJT76 963.K9732.985.A8:32326665444422223333
T52.AQ3.AKT97.82 J864.JT8654..Q74 Q3.9.6542.KJT965 AK97.K72.QJ83.A3:6666A8A9999943446455
Q2.AJ8752.85.J93 JT8.KQ3.QJ3.T542 K96.96.A742.KQ87 A7543.T4.KT96.A6:77779898555587876666
AT54.T876.5.9864 Q983.542.K983.J3 J2.QJ9.AQJ4.KQT2 K76.AK3.T762.A75:55556666555566664444
QT8732.AJ962..63 AK94.T7.A962.T82 J6.Q54.KJT53.J94 5.K83.Q874.AKQ75:989965666566999999A9
64.AK9653.72.Q97 QT87.Q.AJT65.KJT K953.JT2.K43.864 AJ2.874.Q98.A532:8787AAAA6666BBBBA9A9
KQT754.AKJ72.4.T A8.T94.6.KQ87643 6.865.KJT852.952 J932.Q3.AQ973.AJ:A8A8555544448888AAAA
KT973.QJ6.Q87.T4 52.A.A65432.J932 AQ64.KT87.T.Q875 J8.95432.KJ9.AK6:A7A764647777AAAAA8A8
K9.K543.AK54.J87 T7.QJ2.98762.T52 J8432.AT6.3.Q943 AQ65.987.QJT.AK6:65655555555577775555
T3.KQJ6.AQJ53.KJ AQ982.A.T6.T9532 J754.842.42.Q874 K6.T9753.K987.A6:76778888767776768888
QJ7.86.AQJ53.QJ7 A.K752.K76.K8532 T86432.QJ.T84.64 K95.AT943.92.AT9:BABA8888BBBB8888BBBB
Q.AKJ53.742.9872 52.8742.K9653.K6 T986.T9.AQT.QJT4 AKJ743.Q6.J8.A53:77778888555566664444
J72.6543.A952.76 T.AKJ98.K873.K92 AQ8543.Q72.QJT4. K96.T.6.AQJT8543:BBBB5555A9A97575CBCB
AQ.J7.T4.QJT9732 842.A9654.AK73.8 KJ6.KT832.Q965.5 T9753.Q.J82.AK64:76768888656577766565
AQJ.J853.T95.KJ5 7.AKT974.KJ84.T7 963.62.Q32.Q9864 KT8542.Q.A76.A32:88889899AAAAAAAA7676
A92.AJ8.85.KQJ65 J876.QT932.KQ3.9 T54.654.A742.742 KQ3.K7.JT96.AT83:87879999A9A9A8A87777
42.T853.874.QJ96 986.AJ972.K532.4 K753.KQ64.Q.K753 AQJT..AJT96.AT82:AAAABBBB9898DDDD8888
9742.2.AJT9.QJ92 KQJ85.AT4.8632.8 A6.KQ96.K7.76543 T3.J8753.Q54.AKT:77767777666666664343
A32.KQJ92.KT.K54 965.A43.AJ.Q8763 Q7.76.Q976432.JT KJT84.T85.85.A92:77878898666643439898
Q6.K9643.7654.98 AKJT53.AQ82.3.T3 842.J.AKT82.QJ72 97.T75.QJ9.AK654:BABABBBB99997676AAAA
A5.KQJ64.AT6.JT3 KQT876.T5.Q74.Q5 J2.32.J98532.K96 943.A987.K.A8742:87879999555544447676
97642.AQ8.6.K852 AJT.KT432.T9.QT6 53.J976.Q7543.J4 KQ8.5.AKJ82.A973:BABA99999999AAAABABA
QT84.952.AQ964.K KJ52.JT73.K5.653 A9763.KQ864.J73. .A.T82.AQJT98742:BABA333343434444CCCC
QJ965.92.AQ982.Q KT732.T764.J643. .AJ853.7.KJT9872 A84.KQ.KT5.A6543:74748888545477773333
A93.AQJ98.AT62.3 J86.T752.54.Q962 KQT74.3.KQJ83.T4 52.K64.97.AKJ875:61611010424210106666
KT73.K53.873.K94 9.AQJ97.KQ.QJT63 AQJ85.T4.AT9.852 642.862.J6542.A7:76666555AAAA88889888
432.8.KQJT3.QJT3 T.J7653.75.K9864 AJ87.AKT942.A2.2 KQ965.Q.9864.A75:44445555545444446666
K4.974.K.KQJT863 Q72.85.AQ543.975 T98.T32.T9862.42 AJ653.AKQJ6.J7.A:CACACCCCCCCCBABA7777
AQ6432.6.65.JT84 K.KQ97.J82.KQ652 JT75.AJT8.AKQ7.9 98.5432.T943.A73:33331111555544446565
Q8543.A95.AT.Q52 AJT72.K.654.9763 K6.Q732.J92.KT84 9.JT864.KQ873.AJ:55555555666688886565
A97.AQ9872.82.K6 K832.J6543.Q9.T5 QT64.KT.AKT3.873 J5..J7654.AQJ942:53533333333366668787
4.KJ952.QJ62.953 AQ86.Q763.8.JT86 KJ2.84.AT754.KQ4 T9753.AT.K93.A72:66768898777755548887
KJ954.T3.AKQ3.KJ 872.9542.J542.73 AQT3.Q87.9.T9862 6.AKJ6.T876.AQ54:44543232767766765454
K974.J65.A42.J53 JT6.KQ74.J53.Q87 85.AT92.T987.T64 AQ32.83.KQ6.AK92:8888AAAA88888888AAAA
87.KQJ652..87653 KQT96.AT3.A43.KJ 432.9.QJ9652.942 AJ5.874.KT87.AQT:CCCCCBCC8888BBBB7777
T832.Q6.932.K875 AKQ.JT4.AT876.62 J9654.9873.KQJ.Q 7.AK52.54.AJT943:CACA7777AAAAAAAACCCC
KQ82.AKQ63.Q9.84 543.JT742.85.J95 J976.985.AT43.K7 AT..KJ762.AQT632:6585444455658696AABA
962.74.AJT97.874 QT843.J63.Q54.KJ AK5.AQ9.K632.Q65 J7.KT852.8.AT932:55557676999954548787
A83.AKQ952.T96.T QJ7.T873.AKJ32.2 952.J.Q875.K9765 KT64.64.4.AQJ843:76769898757577779898
Q864.AJ643.943.9 AT93.2.J87.QJ873 752.KQT87.AQ652. KJ.95.KT.AKT6542:A7A7666643435454BBBB
7543.K4.KQT.9654 J86.A752.A763.Q7 KT.Q963.952.KJT2 AQ92.JT8.J84.A83:88878888888888885555
96.J7.T95.KJT972 83.AKQ4.Q.Q86543 J52.98652.AJ742. AKQT74.T3.K863.A:BBBBBBBAA9A988889898
QT54..KJ65.Q8754 AJ9.K85.AT983.K3 762.J63.Q74.JT96 K83.AQT9742.2.A2:DDDDCBCBDDDDAAAA7777
7.K87653.Q4.KJT6 AJ.Q9.K832.75432 98632.JT.T975.Q9 KQT54.A42.AJ6.A8:BABABABA7676BBBBA9AA
Q732.J9.AQ83.854 K86.KQ.972.KQJ32 AT.A8732.KJ65.97 J954.T654.T4.AT6:76767777555544448888
AQ.A87.J983.Q862 JT5.J3.AQ6.KJ954 K4.KQT965.542.T7 987632.42.KT7.A3:65659999555577778888
JT62.AT6.AK84.63 KQ4.Q853.9762.J7 A987.J42.JT5.T42 53.K97.Q3.AKQ985:77775555777766668888
KQJ765.A54.9843. A94.QT82.AKJ.T94 T32.K3.Q75.Q8632 8.J976.T62.AKJ75:88884343A9A977769999
T84.J963.AQT73.7 J7.AT.K96.JT6542 A62.KQ87542.J.KQ KQ953..8542.A983:6565989842427676AAAA
K872.KQJ.AQJ92.8 J653.732.83.QJT2 T.A84.K7654.K964 AQ94.T965.T.A753:44446666545522225565
QT85.T8542.3.K42 A763.9.Q742.T983 K.AKQ.AKJ86.J765 J942.J763.T95.AQ:44445555333343433333
AQJT.K.T53.QJ762 96.AQ842.AJ97.T4 K753.T97653.6.93 842.J.KQ842.AK85:999965657777AAAA7777
643.K9743.AT.K64 JT2..KJ9432.QJT8 A8.AJT65.87.9532 KQ975.Q82.Q65.A7:6565A9A94444A9A96565
QJ.AQJ986.6.6432 AT98643..KT742.5 752.754.Q983.Q98 K.KT32.AJ5.AKJT7:DBDCDDDD7787CCCCAADA
J3.AQ52.A9743.T8 AKT.JT83.Q85.J75 876542.K7.K2.Q93 Q9.964.JT6.AK642:76765555666666668787
54.T742.JT952.32 J87.Q65.K63.QT84 KQ93.AJ83.8.J965 AT62.K9.AQ74.AK7:BBBBAABA87879999AAAA
Q85.KT7.84.KQT97 T6.AQJ543.AJ9.82 743.96.KQ72.J653 AKJ92.82.T653.A4:CACACBCACABABABA7777
AK86.K98.KQJ8.72 753.T7642.T7.QJ6 QJ9.AQ3.53.KT854 T42.J5.A9642.A93:33333333555544444343
A874.K.A93.K8742 KJ.Q74.KJ75.QJ96 QT3.AT9532.Q842. 9652.J86.T6.AT53:55555444333344447666
53.Q93.KQ86.KJ94 A9864.2.42.Q8652 QJ.T764.9753.T73 KT72.AKJ85.AJT.A:BABBDDDDBBBB9999A9AA
3.KT74.98762.T98 KQ84.96.K4.QJ752 T975.AQJ2.AQ5.K4 AJ62.853.JT3.A63:76768888444344448888
QJ75.T2.AK97.832 T3.AKQ543.54.JT6 984.97.J82.KQ954 AK62.J86.QT63.A7:99997777AAAA76776666
AQJ62.QT5.J4.JT4 KT95.K83.Q6.Q932 84.A962.KT7.K865 73.J74.A98532.A7:65555555655587786555
KT87653.Q4.Q5.J8 A.AKJ8752..KT742 QJ94.T93.A7.Q965 2.6.KJT986432.A3:BABA5555BBBBBBBBBBBB
954.AKQ.AKQ95.97 A873.T98.J63.J63 KJT.J6.T42.KQT52 Q62.75432.87.A84:32424444555522323232
A.AKQJ5.JT5.J843 Q2.963.KQ763.T95 KT73.72.982.KQ62 J98654.T84.A4.A7:66668787545466664343
Q94.9.K986.K5432 AKJT83.KT83.J32. 75.AQJ72.QT75.QJ 62.654.A4.AT9876:88889898868665558887
AQT9.AQJT92.T3.J 872.5.K974.T9742 J65.K864.Q8.KQ63 K43.73.AJ652.A85:63633333323277776666
AT73.AT42.J62.32 862.Q6.A753.8654 4.KJ753.KQ9.KQ97 KQJ95.98.T84.AJT:44446666222265655555
972.Q5.J92.QJ543 AJT54.82.KQ65.T9 KQ63.J943.A87.86 8.AKT76.T43.AK72:88988888999899998888
QT53.T8.KQT85.J2 K962.K94.7632.87 A87.J76532..Q963 J4.AQ.AJ94.AKT54:88888888777788888888
A.54.JT87.KJ6543 76.K97.Q962.QT98 KJT432.T832.A.72 Q985.AQJ6.K543.A:99997777989899996565
AQJ82.98.QJ.T653 95.AT53.K9543.J9 3.KJ642.A87.KQ72 KT764.Q7.T62.A84:44444444444466663333
AQ.K64.J86.QJ976 86.AJ752.K93.853 J952.T8.AT754.KT KT743.Q93.Q2.A42:76767777888854546565
94.KQJT2.7.QT743 AT75.A987.952.K6 Q632.65.AJ43.952 KJ8.43.KQT86.AJ8:BABBAABA8888CBCB7676
9.7432.T642.QJT9 KT76.AQJ.QJ7.862 84.KT965.A953.K5 AQJ532.8.K8.A743:AAAABBBB666677779998
K3.KT9752.Q5.KQ9 AQ654.4.62.T7632 JT972.Q6.KT943.J 8.AJ83.AJ87.A854:8787777766668787A9AA
9654.KQ754.862.5 J7.AJ9.AQ753.Q83 T32.T6.KJT94.KJT AKQ8.832..A97642:A9A9A9A999A98888BBBB
KQT92.K85.9732.Q A8765.73.5.J9865 J43.Q6.AK64.KT42 .AJT942.QJT8.A73:55755454889855558797
KQ76.QT3.A72.T32 983.A9864.Q5.J74 AJT2.K2.J643.K98 54.J75.KT98.AQ65:65655555777766667777
T92.K7.KJT72.543 AJ6.AQ52.AQ64.KJ 743.J643.53.Q762 KQ85.T98.98.AT98:CCCCCCCCCCCCBBBBCCCC
Q8.Q53.AT6.KJ874 A76532.A64.J7.T6 J94.KT98.K8432.2 KT.J72.Q95.AQ953:75757777555555556666
JT632.7.Q972.532 Q.K98.AJ4.KQT976 AK5.AQT2.T53.J84 9874.J6543.K86.A:96966666A9A97777A9A9
Q94.K93.AT3.QT95 J.A8762.J875.J76 K86532.QJT.62.32 AT7.54.KQ94.AK84:888865659898AAAA9898
A432.K5.K9875.J8 85.JT8643.T6.K74 KQJ976.AQ7.A32.5 T.92.QJ4.AQT9632:72722222666622228888
Q73.KQ86.J64.T62 KJT.73.QT752.K43 962.A942.AK9.987 A854.JT5.83.AQJ5:86869999666688889999
9853.963.K82.652 AKQT4.KT2.T4.KQ8 62.AQJ875.AQ96.J J7.4.J753.AT9743:B8B4BABA44448784BABA
2.AKT9.A9.QJT982 Q84.8732.J643.64 KT97653.Q4.Q5.K5 AJ.J65.KT872.A73:22723333324277872222
A8.A4.KQ832.T984 K65.J973.T97.Q75 T9743.K82.J54.J3 QJ2.QT65.A6.AK62:66666666989854547777
752.QT84.85.KQ53 QJ6.AJ95.A94.762 AK843.K3.KQJ2.T8 T9.762.T763.AJ94:55554444555555555555
94.AKQ752.KJ8.J8 QJT75.T.952.T765 A632.J3.AQT6.K92 K8.9864.743.AQ43:22226666222222226676
A764.QT3.986.J87 KJ9.9862.J3.T953 Q.K74.KQT752.K62 T8532.AJ5.A4.AQ4:87878888888844447797
T9.82.AQ6542.J32 K53.J.T973.KT985 Q864.KQ975.J8.Q6 AJ72.AT643.K.A74:9999999988887777AAAA
A964.K.AQJT7.T74 KJ82.QT832.4.852 QT53.A9.K96.QJ93 7.J7654.8532.AK6:33335353989833335353
652.KQ8.KJT82.83 K83.AJT42.Q3.QJ5 J7.7.A97654.KT64 AQT94.9653..A972:8787BBBBCCCC5555A9A9
KJT4.J73.AJ7.K54 82.KQ85.T852.Q87 763.A642.Q4.JT96 AQ95.T9.K963.A32:87876566767788886666
8742.T8.AQJT84.2 J3.AQ632.9652.T6 KQ.K754.K3.K7543 AT965.J9.7.AQJ98:66669898888855549999
9832.Q53.Q532.98 JT4.972.T986.Q72 AKQ7.JT84.KJ7.K4 65.AK6.A4.AJT653:86964454546455758898
875.K5.QT985.K74 QT932.QJ62.72.J8 KJ6.T743.KJ.QT52 A4.A98.A643.A963:66768798879755556566
T54.K83.K3.KQJT4 KJ963.A.JT6.9832 Q82.95.AQ8754.65 A7.QJT7642.92.A7:6474979799A974748787
KQJ86.Q72.T87.74 .AT98.KJ6532.QJ5 AT754.J64.A.T962 932.K53.Q94.AK83:77775555BABABBBBCACA
AQ6.Q96.A98732.J JT732.JT.6.KT543 K4.K754.JT54.Q97 985.A832.KQ.A862:64647777555533338787
A97.AJ532.9532.T KJ3.QT9.KJ87.842 54.K76.A6.KJ9763 QT862.84.QT4.AQ5:76769797434397975555
AJ.AK54.JT654.73 9864.J63.A7.KQT6 KQT7.9872.Q98.J4 532.QT.K32.A9852:77776666545454548888
8654.32.T9.Q9765 7.JT85.KQJ765.43 AQT2.KQ94.A42.JT KJ93.A76.83.AK82:888876769998A9A96676
AKT7.A2.K.K87652 QJ53.KQ8.965.QJ4 862.975.8432.T93 94.JT643.AQJT7.A:A9A97777AAAAAAAA5555
AT8.K9.J763.7652 J763.T875.85.T93 K92.QJ43.KQT.QJ8 Q54.A62.A942.AK4:55546666656555545555
KQJ73.5.842.KT94 42.AJT9874.95.QJ AT86.Q62.KQJ3.73 95.K3.AT76.A8652:75753333999955557777
KT9.AQ53.AQT54.K AQ5.82.KJ63.QJ95 764.KT964.98.763 J832.J7.72.AT842:7777999944446666A9AA
KQ53.K82.32.K742 T8.95.Q976.J9865 J7642.Q764.A85.T A9.AJT3.KJT4.AQ3:77775555767699999898
QJ8543.AKQ98.J7. 76.J764.AQ542.92 KT9.52.K96.KQ754 A2.T3.T83.AJT863:54642222333377777787
.8654.KT754.K742 AQT653.AK72.8.83 K42.QT3.J32.J965 J987.J9.AQ96.AQT:A9AABBBB989987888787
743.8742.AT32.74 Q6.KT65.QJ87.963 KT95.AQ93..KQT52 AJ82.J.K9654.AJ8:88887777555599A97686
JT54.K6.KJ952.K4 AQ.A742.QT8643.T K976.T98.7.J9732 832.QJ53.A.AQ865:77777676BBBA98988888
T972.Q9.AJ853.KQ KQ654.J2.T974.32 8.T7654.KQ6.J764 AJ3.AK83.2.AT985:8888A9A9767666669898
.J43.AK54.QJ7654 J43.AT98.QT82.32 AKQT985.K652.96. 762.Q7.J73.AKT98:33333333444454545555
JT9862.AK87.T42. AKQ.T432.763.J72 7543.Q6.QJ.KQT63 .J95.AK985.A9854:88885454777796A777A7
QT84.KQ72.J2.KQ8 AJ972.J6.Q4.JT97 K65.T9.KT853.543 3.A8543.A976.A62:76777777777766668788
K763.QJT2.AT.Q63 AJT8.983.K864.T8 2.A7654.J952.K92 Q954.K.Q73.AJ754:76669999434477778898
AK.6.AKQ8654.K82 Q8752.9.JT73.JT4 J963.KQ732.92.Q5 T4.AJT854..A9763:44646565666643438888
AJ43.AQ93.KQ976. KT5.T742.2.T8652 Q9862.KJ85.A8.K9 7.6.JT543.AQJ743:4464111111113343AAAA
AT98.97.JT9.T764 54.J54.K86543.Q3 J76.AKQ63.Q.KJ85 KQ32.T82.A72.A92:64644444333377774342
7542.843.K6.KJ76 KJ6.KJT5.AT52.82 AQT3.Q76.QJ8.Q54 98.A92.9743.AT93:66666666777788886666
AK876.K765.74.87 QJ52.AQT.AT92.KQ T9.J9842.KQ.T953 43.3.J8653.AJ642:AAAA87876666BABABAAA
T753.KJ93.A3.J86 Q9842.Q865.64.43 J6.T72.KT97.T752 AK.A4.QJ852.AKQ9:8888AAAA989899999898
Q973.976.T643.Q6 A64.K2.AQJ95.K43 KJT8.T53.K2.J875 52.AQJ84.87.AT92:CACA8888CBCBCBCBBABA
A.AQT873.AKQJ5.K QJ32.K4.862.Q982 T987654.J9.T.JT6 K.652.9743.A7543:53534343212132327575
98743.KJT5.A4.T5 AK.Q982.KJ9632.4 QJ6.763.T85.J832 T52.A4.Q7.AKQ976:BBBB8888A9A9CBCCBABB
8764.AT.JT82.J94 J3.98632.Q4.K853 AKQT.K54.765.T62 952.QJ7.AK93.AQ7:77776666A9A987878888
975.KQ8.K5.KQJT5 Q8642.J32.JT8.82 AK.T74.Q943.7643 JT3.A965.A762.A9:64647677666655553333
A84.AK9762.AQ92. J962.QT5.T.JT972 T75.J.K8764.Q863 KQ3.843.J53.AK54:54546666323211118787
T8.T42.J84.KQT85 A743.K985.92.J42 KJ62.J6.AKQ53.76 Q95.AQ73.T76.A93:76767777888844446565
KQJT.7.KQT64.943 A876.T9543.973.5 54.AKJ86.J.KQ872 932.Q2.A852.AJT6:55555555556554544444
K4.T652.AQ82.K43 AT5.AK943.43.Q87 QJ6.J7.KJT976.52 98732.Q8.5.AJT96:6565A9A9989844449999
QJ6.Q72.T94.8532 K974.AK95.5.QJ94 T532.8.KQJ763.KT A8.JT643.A82.A76:CBCBBABADCDC7777CBCB
KT4.Q9873.Q86.42 A765.JT6.A.KQJ83 Q83.2.KJT9732.T5 J92.AK54.54.A976:A9A9AAAA98985555BBBB
AQ2.AJT8654.J.Q8 KJ63.92.85.JT532 T875.KQ3.AKT.K96 94.7.Q976432.A74:21214343211176766666
